emotion,sentiment,subjectivity,orientation,chapter,paragraph,sentence
-1,1,-1,-1,1,5,4
-1,1,-1,-1,1,5,4
-1,0,-1,-1,1,5,4
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,0,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
-1,1,0,1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,0,1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,0,1,1,5,5
1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,1,1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,0,1,1,5,5
1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
-1,1,0,1,1,5,5
-1,1,-1,-1,1,5,5
-1,1,-1,-1,1,5,5
-1,0,-1,-1,1,5,5
3,-1,-1,-1,1,5,5
1,1,0,-1,1,5,5
0,1,0,-1,1,5,5
0,1,0,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,1,-1,1,5,5
-1,1,0,1,1,5,5
