word,emotion,sentiment,subjectivity,orientation,source
arose,,,,active,inquirer
arousal,,positive,strong,,mpqa
arouse,anticipation,positive,strong,,emolex
arousing,,positive,strong,,mpqa
arraignment,anger,negative,,,emolex
arrange,,,,active,inquirer
arrangement,,,,active,inquirer
array,,positive,,,emolex
arrears,,negative,,,emolex
arrest,,negative,,active,emolex
arresting,,positive,strong,,mpqa
arrival,anticipation,,,active,emolex
arrive,anticipation,,,active,emolex
arrogance,,negative,strong,,emolex
arrogant,anger,negative,strong,,emolex
arrogantly,,negative,strong,,opinion
arsenic,disgust,negative,,,emolex
arson,anger,negative,,,emolex
art,anticipation,positive,,,emolex
articulate,,positive,strong,active,emolex
articulation,,positive,,,emolex
artificial,,negative,weak,,mpqa
artillery,fear,negative,,,emolex
artisan,,positive,,,emolex
artiste,,positive,,,emolex
artistic,,positive,,,emolex
ascend,,,,active,inquirer
ascendancy,,positive,,,emolex
ascendant,,positive,strong,,mpqa
ascent,,positive,,active,emolex
ascertain,,,,active,inquirer
ascertainable,,positive,strong,,mpqa
ascertainment,,,,active,inquirer
ascribe,,positive,,active,inquirer
ash,,negative,,,emolex
ashamed,disgust,negative,strong,passive,emolex
ashes,sadness,negative,,,emolex
asinine,,negative,strong,,opinion
asininely,,negative,strong,,opinion
asinininity,,negative,strong,,opinion
ask,,,,active,inquirer
askance,,negative,strong,,opinion
asleep,,,,passive,inquirer
asp,fear,,,,emolex
asperse,,negative,strong,,opinion
aspersion,,negative,strong,,opinion
aspersions,,negative,strong,,opinion
aspiration,anticipation,positive,strong,,emolex
aspirations,,positive,strong,,opinion
aspire,anticipation,positive,strong,active,emolex
aspiring,anticipation,positive,,,emolex
ass,,negative,,,emolex
assail,anger,negative,weak,active,emolex
assailant,anger,negative,,,emolex
assassin,anger,negative,strong,,emolex
assassinate,anger,negative,weak,active,emolex
assassination,anger,negative,,,emolex
assault,anger,negative,weak,active,emolex
assemble,,,,active,inquirer
assembly,trust,positive,,,emolex
assent,,positive,strong,,emolex
assert,,,,active,inquirer
asserting,trust,positive,,,emolex
assertion,,positive,,,inquirer
assertions,,positive,strong,,mpqa
assertive,,positive,weak,,mpqa
assess,,,strong,,mpqa
assessment,surprise,,weak,,emolex
assessments,,,weak,,mpqa
assessor,trust,,,,emolex
asset,,positive,weak,,mpqa
assets,,positive,,,emolex
asshole,anger,negative,,,emolex
assiduous,,positive,strong,,mpqa
assiduously,,positive,strong,,mpqa
assign,,,,active,inquirer
assignee,trust,,,,emolex
assignment,,,,active,inquirer
assimilate,,,,passive,inquirer
assist,trust,positive,,active,emolex
assistance,,positive,,active,emolex
assistant,,positive,,active,inquirer
associate,trust,positive,,active,emolex
association,trust,positive,,active,emolex
assuage,,positive,weak,,emolex
assult,,negative,,,opinion
assume,,,,passive,inquirer
assumption,,,weak,passive,mpqa
assurance,trust,positive,weak,,emolex
assurances,,positive,weak,,opinion
assure,trust,positive,strong,,emolex
assured,trust,positive,,,emolex
assuredly,trust,positive,strong,,emolex
assuring,,positive,,,opinion
astonish,,positive,strong,,opinion
astonished,,positive,strong,,opinion
astonishing,,positive,strong,,opinion
astonishingly,surprise,positive,strong,,emolex
astonishment,joy,positive,strong,,emolex
astound,,positive,strong,active,opinion
astounded,,positive,strong,,opinion
astounding,,positive,strong,,opinion
astoundingly,,positive,strong,,opinion
astray,fear,negative,weak,passive,emolex
astringent,,negative,,,emolex
astrologer,anticipation,positive,,,emolex
astronaut,,positive,,,emolex
astronomer,anticipation,positive,,,emolex
astronomic,,,strong,,mpqa
astronomical,,,strong,,mpqa
astronomically,,,strong,,mpqa
astute,,positive,strong,,emolex
astutely,,positive,strong,,opinion
asunder,,negative,strong,passive,opinion
asylum,fear,negative,weak,,emolex
asymmetry,disgust,,,,emolex
ate,,,,active,inquirer
atheism,,negative,,,emolex
atherosclerosis,fear,negative,,,emolex
athlete,,positive,,,emolex
athletic,,positive,,,emolex
atom,,positive,,,emolex
atone,anticipation,positive,,,emolex
atonement,,positive,,,emolex
atrocious,anger,negative,strong,,emolex
atrocities,,negative,strong,,opinion
atrocity,anger,negative,strong,,emolex
atrophy,disgust,negative,strong,passive,emolex
attach,,,,active,inquirer
attachment,,positive,,,emolex
attack,anger,negative,weak,active,emolex
attacking,anger,negative,,,emolex
attacks,,negative,,,opinion
attain,,positive,weak,active,mpqa
attainable,anticipation,positive,weak,,emolex
attainment,,positive,,active,emolex
attempt,anticipation,,,active,emolex
attend,,positive,,active,inquirer
attendance,anticipation,positive,,active,emolex
attendant,trust,positive,,active,emolex
attention,,positive,,passive,emolex
attentive,trust,positive,strong,passive,emolex
attenuated,,negative,,,emolex
attenuation,sadness,negative,,,emolex
attest,trust,positive,strong,passive,emolex
attestation,trust,,,,emolex
attitude,,,strong,,mpqa
attitudes,,,weak,,mpqa
attorney,anger,positive,,,emolex
attract,,positive,,,inquirer
attraction,,positive,strong,,emolex
attractive,,positive,strong,,opinion
attractively,,positive,strong,,opinion
attractiveness,,positive,,,emolex
attune,,positive,weak,,opinion
auction,anticipation,,,,emolex
audacious,,negative,strong,,opinion
audaciously,,negative,strong,,opinion
audaciousness,,negative,strong,,opinion
audacity,,negative,strong,,emolex
audible,,positive,,,opinion
audibly,,positive,,,opinion
audiciously,,negative,,,opinion
audience,anticipation,,,,emolex
auditor,fear,,,,emolex
augment,,positive,,active,emolex
augmentation,,positive,,,inquirer
august,,positive,,,emolex
aunt,trust,positive,,,emolex
aura,,positive,,,emolex
auspicious,anticipation,positive,strong,,emolex
austere,fear,negative,strong,,emolex
austerity,,negative,,,emolex
authentic,joy,positive,weak,,emolex
authenticate,trust,,,,emolex
authentication,trust,,,,emolex
authenticity,trust,positive,,,emolex
author,trust,positive,,,emolex
authoritarian,,negative,weak,,opinion
authoritative,trust,positive,weak,,emolex
authority,trust,positive,,,emolex
authorization,trust,positive,,,emolex
authorize,trust,,,active,emolex
authorized,,positive,,,emolex
autocrat,,negative,strong,,opinion
autocratic,,negative,strong,,emolex
automatic,trust,,,,emolex
autonomous,,positive,weak,,opinion
