word,emotion,color,orientation,sentiment,subjectivity,source
aghast,disgust,,,negative,strong,emolex
agile,,,,positive,weak,emolex
agilely,,,,positive,weak,opinion
agility,,,,positive,weak,emolex
agitate,,,active,negative,strong,mpqa
agitated,anger,,,negative,strong,emolex
agitation,anger,,active,negative,strong,emolex
agitator,,,,negative,strong,mpqa
agonies,,,,negative,strong,opinion
agonize,,,passive,negative,strong,opinion
agonizing,fear,,,negative,strong,emolex
agonizingly,,,,negative,strong,opinion
agony,anger,red,,negative,strong,emolex
agree,,,passive,positive,strong,emolex
agreeability,,,,positive,strong,mpqa
agreeable,trust,,,positive,weak,emolex
agreeableness,,,,positive,strong,opinion
agreeably,,,,positive,strong,opinion
agreed,trust,,,positive,,emolex
agreeing,trust,,,positive,,emolex
agreement,trust,,,positive,weak,emolex
agricultural,,green,,,,colour
agriculture,,green,,positive,,emolex
aground,,brown,,negative,,emolex
agua,,blue,,,,colour
aha,,,,,strong,mpqa
ahead,,,,positive,,emolex
aid,,green,active,positive,,emolex
aiding,,,,positive,,emolex
ail,sadness,black,passive,negative,weak,emolex
ailing,fear,,,negative,,emolex
ailment,,brown,,negative,weak,opinion
aim,,,active,,,inquirer
aimless,,,passive,negative,strong,emolex
air,,blue,,,strong,mpqa
airman,,blue,,,,colour
airport,anticipation,,,,,emolex
airs,disgust,,,negative,weak,emolex
airship,,white,,,,colour
aisle,,white,,,,colour
akin,trust,,,,,emolex
alabaster,,white,,positive,,emolex
alarm,fear,red,active,negative,weak,emolex
alarmed,,,,negative,strong,opinion
alarming,fear,red,,negative,strong,emolex
alarmingly,,,,negative,strong,opinion
alas,,,,negative,strong,mpqa
alb,trust,,,,,emolex
alcohol,,brown,,,,colour
alcoholism,anger,black,,negative,,emolex
alcove,,brown,,,,colour
alert,,red,active,,weak,mpqa
alertness,anticipation,,,positive,,emolex
alerts,anticipation,,,,,emolex
alfalfa,,green,,,,colour
algebraic,,black,,,,colour
alibi,,white,passive,,,inquirer
alien,disgust,grey,,negative,,emolex
alienate,anger,,,negative,weak,emolex
alienated,sadness,,,negative,weak,emolex
alienation,anger,green,,negative,weak,emolex
alight,,,,positive,,inquirer
alignment,,yellow,,,,colour
alimentation,,,,positive,,emolex
alimony,,,,negative,,emolex
alive,anticipation,,active,positive,,emolex
all-around,,,,positive,,opinion
all-time,,,,,weak,mpqa
allay,,,,positive,strong,emolex
allegation,anger,,,negative,strong,emolex
allegations,,,,negative,strong,opinion
allege,,,,negative,weak,emolex
allegiance,trust,,,positive,,emolex
allegorize,,,,,strong,mpqa
allegro,,,,positive,,emolex
allergic,,,,negative,weak,opinion
allergies,,,,negative,,opinion
allergy,,,,negative,,opinion
alleviate,,,active,positive,weak,emolex
alleviation,,,,positive,,emolex
alliance,trust,,,positive,strong,emolex
alliances,,,,,strong,mpqa
allied,trust,,,positive,,emolex
allies,,,,positive,,inquirer
alligator,,green,,,,colour
allow,,,passive,positive,weak,mpqa
allowable,,,,positive,weak,emolex
allowance,,green,,positive,,inquirer
allowed,,green,,,,colour
alloy,,grey,,,,colour
allure,anticipation,,,positive,strong,emolex
alluring,,,,positive,strong,emolex
alluringly,,,,positive,strong,opinion
allusion,,,,,strong,mpqa
allusions,,,,,strong,mpqa
alluvial,,brown,,,,colour
ally,trust,,,positive,strong,emolex
almighty,,white,,positive,strong,emolex
aloha,anticipation,,,positive,,emolex
aloof,,white,passive,negative,strong,emolex
aloud,,purple,,,,colour
alter,,grey,active,,,inquirer
altercation,anger,,,negative,weak,emolex
alternate,,,active,,,inquirer
although,,,,negative,weak,mpqa
altogether,,,,,strong,mpqa
altruist,,,,positive,strong,mpqa
altruistic,,,,positive,strong,opinion
altruistically,,,,positive,strong,opinion
amalgam,,grey,,,,colour
amaze,surprise,purple,,positive,strong,emolex
amazed,,,,positive,strong,opinion
amazement,,,,positive,strong,opinion
amazes,,,,positive,,opinion
amazing,,,,positive,strong,opinion
amazingly,joy,white,,positive,strong,emolex
ambassador,trust,,,positive,,emolex
ambient,,yellow,,,,colour
ambiguity,,,,negative,strong,opinion
ambiguous,,grey,,negative,strong,emolex
ambition,anticipation,,,positive,,emolex
ambitious,,,active,positive,weak,opinion
ambitiously,,,,positive,weak,opinion
ambivalence,,,,negative,strong,opinion
ambivalent,,,,negative,strong,opinion
ambulance,fear,red,,,,emolex
ambush,anger,,active,negative,weak,emolex
ameliorate,,green,active,positive,strong,emolex
amen,joy,white,,positive,,emolex
amenable,,,,positive,strong,emolex
amend,,,active,positive,,emolex
amends,,,,positive,,emolex
amenity,,green,,positive,weak,emolex
amethyst,,purple,,,,colour
amiability,,,,positive,strong,opinion
amiabily,,,,positive,strong,opinion
amiable,,,,positive,strong,emolex
amicability,,,,positive,strong,opinion
amicable,joy,,,positive,strong,emolex
amicably,,,,positive,strong,opinion
amiss,,,,negative,strong,opinion
amity,,,,positive,weak,opinion
ammonia,disgust,white,,,,emolex
ammunition,,grey,,,,colour
amnesia,,,,negative,,emolex
amnesty,joy,,,positive,weak,emolex
amortization,trust,,,,,emolex
amount,,green,,,,colour
amour,anticipation,red,,positive,strong,emolex
amphetamines,disgust,,,negative,,emolex
amphibian,,green,,,,colour
ample,,,,positive,weak,opinion
amplify,,,active,positive,weak,mpqa
amply,,,,positive,weak,opinion
amputate,,,active,negative,weak,opinion
amuse,joy,,active,positive,strong,emolex
amused,joy,,,positive,,emolex
amusement,joy,,,positive,strong,emolex
amusing,joy,,,positive,strong,emolex
amusingly,,,,positive,strong,opinion
anaconda,disgust,,,negative,,emolex
anaesthetic,,grey,,,,colour
anal,,,,negative,,emolex
analgesic,,white,,,,colour
analysis,,,active,,,inquirer
analyst,anticipation,white,,positive,,emolex
analytic,,,active,,,inquirer
